LIZ;514080290
NIZ;478334833
RIZ;240701995
SIZ;220965831
TIZ;129112465
GAZ;80328477
ENZ;65507116
RAZ;60417627
MIZ;55381459
ITZ;47018028
EIZ;43220194
LYZ;41569794
EEZ;38439345
HAZ;37995345
LAZ;37906543
DIZ;35940267
MAZ;33895141
DOZ;31018888
ANZ;30035140
UZZ;28932187
NAZ;22164635
CIZ;21052153
ONZ;20078146
ROZ;19832895
HIZ;19265009
AZZ;18806559
RTZ;18196413
IZZ;17842950
VIZ;15391837
ETZ;15113519
PUZ;15105237
NEZ;14924941
REZ;10935861
UEZ;10117204
IAZ;9458198
LTZ;9257128
MOZ;8731082
DAZ;8568231
DEZ;8484843
NOZ;8373626
JAZ;7894910
BYZ;7422585
GIZ;7415397
ERZ;7010565
RUZ;6845119
ALZ;6660429
AIZ;6588199
HEZ;6294358
IPZ;5831709
ATZ;5811191
SUZ;5658091
UIZ;5599944
INZ;5529316
OZZ;5362416
BUZ;5326983
NTZ;5288862
WIZ;5166523
FUZ;5134184
PEZ;5099422
BAZ;4978077
BIZ;4926149
ARZ;4432399
PIZ;4409547
BEZ;4009804
IEZ;3914521
KAZ;3897672
EZZ;3846269
TOZ;3592289
UTZ;3453856
MEZ;3309597
LEZ;3187433
URZ;3065287
SOZ;3007964
OOZ;2944410
SEZ;2931299
MUZ;2924066
MHZ;2865938
PAZ;2584555
AUZ;2546426
VEZ;2382588
TEZ;2256640
WAZ;1906347
OLZ;1905249
ISZ;1888424
ULZ;1883523
KHZ;1872190
LUZ;1834117
COZ;1787464
LOZ;1757432
IGZ;1704697
FIZ;1674228
NGZ;1622801
EOZ;1476076
ECZ;1432550
UNZ;1401191
IRZ;1381357
GHZ;1374661
EAZ;1278516
CUZ;1273024
EUZ;1229893
ZIZ;1216152
OTZ;1200836
IOZ;1145216
GUZ;1098918
CEZ;1052527
ELZ;1045143
TAZ;1018104
FEZ;947238
ORZ;930044
XYZ;850358
YAZ;843191
GTZ;819272
OUZ;813889
KUZ;782274
ADZ;735838
AEZ;733311
FAZ;719188
NCZ;714063
BOZ;710284
ASZ;671613
KOZ;669995
POZ;653200
JOZ;631315
ODZ;628557
VAZ;610061
JEZ;601094
USZ;587596
OSZ;555750
HOZ;554865
RSZ;546974
SAZ;520218
RYZ;484596
ICZ;482421
GYZ;481037
ZEZ;476813
GOZ;465358
WUZ;453292
GEZ;420092
OAZ;415801
BRZ;372695
AMZ;343651
NUZ;309535
DRZ;281584
YOZ;266665
CAZ;244815
VOZ;241514
DMZ;240846
YUZ;221832
PRZ;214146
OBZ;208154
OIZ;184400
XAZ;183232
NDZ;179659
ACZ;170001
KSZ;165621
QAZ;165459
EPZ;164684
THZ;164433
ZAZ;144575
CHZ;142051
HUZ;137962
TUZ;134186
UBZ;121127
UDZ;114018
JCZ;113552
ZCZ;112123
YSZ;111380
KRZ;111380
AJZ;111349
ESZ;111330
AFZ;109432
WOZ;106762
DUZ;105300
CYZ;103695
TSZ;102419
